date,date_comment,end_time,category,comment
,,09:04,breakfast,
,,09:24,morning_routine,
,,12:02,reading_papers,
,,12:35,lunch_at_home,
,,12:49,transit,
,,15:52,research,
,,16:30,transit,
,,19:00,rock_climbing,
,,21:57,dinner_social,
,,22:40,reading_papers,
,,23:37,reading_fiction,
,,23:55,evening_routine,
2014-11-08,,07:45,sleep,
,,08:30,reading_online,
,,09:04,introspection,
,,09:14,morning_routine,
,,10:33,reading_papers,
,,11:00,morning_routine,
,,11:25,breakfast,
,,11:37,reading_online,
,,12:02,shopping,
,,12:18,overhead,
,,14:30,bike_ride,
,,14:40,snack,
,,15:50,reading_fiction,
,,15:59,snack,
,,17:10,reading_fiction,
,,17:40,reading_nonfiction,
,,18:15,reading_online,
,,19:00,transit,
,,22:10,movie_social,
,,23:20,transit,
2014-11-09,,00:10,dinner_social,
,,00:23,evening_routine,
,,01:12,reading_nonfiction,
,,08:27,sleep,
,,08:57,overhead,
,,09:09,morning_routine,
,,09:31,reading_nonfiction,
,,09:50,breakfast,
,,10:15,morning_routine,
,,10:40,skype_parents,
,,10:57,emails,
,,11:35,writing,
,,12:43,reading_online,
,,13:09,lunch_at_home,
,,13:18,overhead,
,,14:00,transit,
,,16:00,reading_fiction,
,,17:00,shopping,
,,18:09,friend_hangout,
,,18:48,transit,
,,19:04,introspection,
,,19:47,dinner_at_home,
,,20:07,emails,
,,23:28,writing,
,,23:45,evening_routine,
2014-11-10,,00:11,stretches,
,,08:00,sleep,
,,08:33,reading_online,
,,08:50,morning_routine,
,,09:11,exercise_routine,
,,09:30,breakfast,
,,09:57,morning_routine,
,,11:36,overhead,
,,11:53,overhead,
,,12:15,waiting,
,,13:00,transit,
,,14:40,waiting,
,,15:00,driving_test,
,,15:30,lunch_social,
,,17:45,side_projects,
,,18:00,transit,
,,18:16,overhead,
,,19:06,dinner_at_home,
,,21:04,reading_papers,
,,22:37,reading_nonfiction,
,,22:49,evening_routine,
,,23:22,reading_nonfiction,
,,23:49,stretches,
2014-11-11,,09:06,sleep,
,,09:34,daydream,
,,09:47,morning_routine,
,,10:17,exercise_routine,
,,10:56,breakfast_with_prep,
,,11:17,emails,
,,11:47,morning_routine,
,,13:31,reading_nonfiction,
,,14:04,lunch_at_home,
,,17:09,reading_nonfiction,
,,17:37,overhead,
,,18:00,transit,
,,18:20,dinner_out_by_myself,
,,18:47,transit,
,,21:52,reading_papers,
,,22:18,writing,
,,22:28,overhead,
,,23:04,stretches,
,,23:19,evening_routine,
,,23:35,stretches,
2014-11-12,,08:00,sleep,
,,08:46,reading_online,
,,08:57,morning_routine,
,,09:18,morning_routine,
,,09:34,breakfast,
,,09:56,planning,
,,11:05,grocery_trip,
,,12:44,reading_nonfiction,
,,12:55,transit,
,,13:30,emails,
,,14:00,lunch_out_by_myself,
,,19:30,research,
,,21:00,dinner_social,
,,21:10,transit,
,,22:13,reading_papers,
,,23:14,reading_nonfiction,
,,23:32,writing,
,,23:38,planning,
,,23:54,evening_routine,
2014-11-13,,00:07,stretches,
,,08:00,sleep,
,,08:06,reading_online,
,,08:17,morning_routine,
,,08:40,exercise_routine,
,,08:54,breakfast,
,,09:19,morning_routine,
,,10:30,reading_nonfiction,
,,10:41,overhead,
,,10:51,side_projects,
,,11:06,transit,
,,12:30,class,
,,13:30,lunch_social,
,,15:40,research,
,,15:54,emails,
,,17:45,research,
,,18:30,transit,
,,21:30,movie_social,
,,22:00,transit,
,,22:11,overhead,
,,23:18,reading_fiction,
,,23:32,evening_routine,
,,23:37,overhead,
,,23:52,stretches,
2014-11-14,,08:22,sleep,
,,08:38,emails,
,,08:55,morning_routine,
,,09:20,exercise_routine,
,,09:37,breakfast,
,,09:46,emails,
,,10:12,planning,
,,10:43,morning_routine,
,,12:42,reading_nonfiction,
,,12:47,overhead,
,,13:08,lunch_at_home,
,,13:20,transit,
,,17:00,research,
,,17:40,transit,
,,21:00,rock_climbing,
,,22:15,dinner_social,
,,23:20,transit,
,,23:38,overhead,
2014-11-15,,00:03,writing,
,,00:22,evening_routine,
,,09:10,sleep,
,,09:28,daydream,
,,10:00,morning_routine,
,,10:12,breakfast,
,,10:19,emails,
,,11:00,reading_nonfiction,
,,11:40,skype_parents,
,,12:40,reading_online,
,,13:16,lunch_at_home,
,,17:29,reading_nonfiction,
,,19:10,dinner_with_prep,
,,19:21,overhead,
,,23:30,party,
,,23:46,evening_routine,
2014-11-16,,00:08,stretches,
,,09:20,sleep,
,,09:55,morning_routine,
,,10:14,overhead,
,,10:35,breakfast,
,,11:50,transit,
,,12:00,bureaucracy,
,,12:40,transit,
,,13:10,waiting,
,,14:15,friend_hangout,
,,14:35,transit,
,,14:45,waiting,
,,15:00,transit,
,,17:00,meetup,
,,17:35,transit,
,,18:15,reading_online,
,,21:00,dinner_social,
,,21:10,transit,
,,22:29,overhead,
,,23:13,introspection,
,,23:30,evening_routine,
2014-11-17,,00:09,stretches,
,,08:05,sleep,
,,08:35,reading_online,
,,08:47,morning_routine,
,,08:51,introspection,
,,09:12,exercise_routine,
,,09:31,breakfast,
,,09:56,morning_routine,
,,12:33,reading_nonfiction,
,,13:05,lunch_at_home,
,,13:18,transit,
,,15:25,research,
,,16:46,attend_talk,
,,18:47,research,
,,19:29,emails,
,,20:00,library_trip,
,,20:50,dinner_at_home,
,,23:50,reading_nonfiction,
2014-11-18,,00:02,evening_routine,
,,00:14,planning,
,,08:30,sleep,
,,08:40,emails,
,,09:18,morning_routine,
,,09:35,emails,
,,09:54,breakfast,
,,10:00,transit,
,,10:50,reading_papers,
,,11:10,waiting,
,,12:20,class,
,,13:00,lunch_social,
,,13:20,friend_hangout,
,,13:30,transit,
,,15:15,attend_talk,
,,15:25,transit,
,,15:38,emails,
,,16:00,homework,
,,17:00,colleague_meeting,
,,17:11,overhead,
,,18:47,research,
,,19:00,transit,
,,19:06,overhead,
,,19:38,dinner_at_home,
,,19:59,reading_papers,
,,20:26,shopping,
,,21:14,side_projects,
,,22:55,reading_nonfiction,
,,23:03,reading_online,
,,23:10,introspection,
,,23:24,evening_routine,
,,23:30,stretches,
2014-11-19,,08:04,sleep,
,,08:09,emails,
,,08:44,morning_routine,
,,08:51,breakfast,
,,09:05,transit,
,,10:21,colleague_meeting,
,,10:35,overhead,
,,13:00,homework,
,,15:05,group_meeting,
,,15:17,overhead,
,,19:02,homework,
,,19:36,planning,
,,19:49,transit,
,,19:55,overhead,
,,20:44,dinner_at_home,
,,22:40,shopping,
,,22:45,planning,
,,22:56,reading_papers,
,,23:08,evening_routine,
,,23:16,laundry,
,,23:24,introspection,
,,23:30,stretches,
2014-11-20,,09:25,sleep,
,,09:46,emails,
,,10:29,morning_routine,
,,10:43,planning,
,,10:57,breakfast,
,,11:10,transit,
,,12:30,class,
,,13:50,lunch_social,
,,14:00,overhead,
,,15:20,homework,
,,15:40,waiting,
,,15:52,advisor_meeting,
,,17:10,homework,
,,17:30,reading_online,
,,19:06,homework,
,,19:10,reading_online,
,,19:30,transit,
,,19:37,overhead,
,,20:40,dinner_at_home,
,,21:33,reading_fiction,
,,22:14,planning,
,,22:22,planning,
,,23:05,reading_fiction,
,,23:16,introspection,
,,23:29,evening_routine,
,,23:57,stretches,
2014-11-21,,09:19,sleep,
,,09:25,emails,
,,09:39,daydream,
,,10:28,morning_routine,
,,10:45,breakfast,
,,11:10,bureaucracy,
,,12:36,grocery_trip,
,,13:14,lunch_with_prep,
,,13:26,transit,
,,13:35,bureaucracy,
,,13:39,overhead,
,,18:12,homework,
,,18:50,grocery_trip,
,,18:56,overhead,
,,20:44,dinner_with_prep,
,,20:55,side_projects,
,,21:52,side_projects,
,,22:15,writing,
,,22:24,planning,
,,23:41,side_projects,
,,23:54,evening_routine,
2014-11-22,,00:04,stretches,
,,08:27,sleep,
,,08:32,emails,
,,09:08,daydream,
,,09:44,morning_routine,
,,10:24,breakfast,
,,10:49,writing,
,,11:21,skype_parents,
,,11:59,planning,
,,12:20,lunch_at_home,
,,12:27,overhead,
,,14:45,reading_papers,
,,15:20,transit,
,,15:40,reading_papers,
,,19:00,reading_fiction,
,,19:18,overhead,
,,20:00,dinner_at_home,
,,21:23,side_projects,
,,21:47,writing,
,,22:14,emails,
,,23:09,reading_fiction,
,,23:19,emails,
,,23:27,planning,
,,23:43,evening_routine,
2014-11-23,,00:07,stretches,
,,08:29,sleep,
,,09:00,daydream,
,,09:39,morning_routine,
,,10:29,finances,
,,10:51,breakfast,
,,11:52,writing,
,,12:18,planning,
,,13:25,planning,
,,13:52,lunch_at_home,
,,13:58,overhead,
,,14:09,overhead,
,,14:30,transit,
,,14:40,waiting,
,,17:42,photography,
,,18:14,transit,
,,18:25,overhead,
,,18:55,dinner_at_home,
,,19:31,overhead,
,,20:00,transit,
2014-11-24,,01:00,party,
,,01:27,transit,
,,01:47,evening_routine,
,,10:07,sleep,
,,10:17,morning_routine,
,,10:40,exercise_routine,
,,10:55,breakfast,
,,11:05,reading_online,
,,11:28,morning_routine,
,,12:17,planning,
,,12:41,planning,
,,12:48,overhead,
,,13:05,lunch_at_home,
,,13:13,overhead,
,,13:45,reading_papers,
,,13:50,overhead,
,,19:35,homework,
,,20:00,transit,
,,20:10,grocery_trip,
,,20:25,overhead,
,,21:03,dinner_at_home,
,,21:12,reading_online,
,,23:40,reading_fiction,
,,23:54,evening_routine,
2014-11-25,,00:14,introspection,
,,00:18,stretches,
,,08:00,sleep,
,,08:30,daydream,
,,08:46,morning_routine,
,,09:14,exercise_routine,
,,09:34,breakfast,
,,10:04,morning_routine,
,,10:55,planning,
,,11:05,transit,
,,12:30,class,
,,13:10,lunch_out_by_myself,
,,19:40,research,
,,19:56,transit,
,,21:00,dinner_at_home,
,,21:27,bike_maintenance,
,,22:00,planning,
,,22:36,writing,
,,22:41,emails,
,,22:46,overhead,
,,22:59,evening_routine,
,,23:20,stretches,
2014-11-26,,08:00,sleep,
,,08:06,emails,
,,08:46,waiting,
,,08:52,morning_routine,
,,09:01,transit,
,,10:00,advisor_meeting,
,,10:11,overhead,
,,10:45,snack,
,,14:19,homework,
,,14:57,lunch_out_by_myself,
,,18:38,homework,
,,19:05,planning,
,,19:33,homework,
,,20:10,dinner_out_by_myself,
,,20:15,transit,
,,20:28,overhead,
,,20:54,planning,
,,21:20,writing,
,,23:06,reading_fiction,
,,23:24,evening_routine,
,,23:43,stretches,
2014-11-27,,08:20,sleep,
,,08:49,reading_online,
,,09:06,morning_routine,
,,09:31,exercise_routine,
,,09:50,breakfast,
,,10:17,emails,
,,10:42,morning_routine,
,,12:00,side_projects,
,,12:32,lunch_at_home,
,,12:43,overhead,
,,12:52,transit,
,,17:54,homework,
,,18:40,transit,
,,20:00,dinner_social,
,,20:20,transit,
,,20:40,waiting,
,,21:00,transit,
,,22:30,friend_hangout,
2014-11-28,,00:20,movie_social,
,,02:32,friend_hangout,
,,02:42,evening_routine,
,,02:51,introspection,
,,08:30,sleep,
,,08:46,reading_online,
,,08:54,introspection,
,,09:07,morning_routine,
,,09:29,morning_routine,
,,09:55,breakfast,
,,10:03,overhead,
,,10:55,transit,
,,14:30,hike_social,
,,15:25,transit,
,,15:47,snack,
,,16:55,reading_fiction,
,,18:02,transit,
,,20:13,reading_fiction,
,,21:02,dinner_at_home,
,,21:06,planning,
,,21:17,emails,
,,21:41,writing,
,,21:58,reading_online,
,,23:22,reading_fiction,
,,23:40,evening_routine,
2014-11-29,,09:07,sleep,
,,09:20,emails,
,,09:35,morning_routine,
,,09:57,exercise_routine,
,,10:08,breakfast,
,,10:37,morning_routine,
,,10:54,planning,
,,11:10,skype_parents,
,,11:45,haircut,
,,12:33,grocery_trip,
,,13:01,lunch_at_home,
,,13:13,transit,
,,19:29,homework,
,,20:12,dinner_out_by_myself,
,,20:35,transit,
,,23:43,reading_fiction,
,,23:51,introspection,
2014-11-30,,00:07,evening_routine,
,,09:00,sleep,
,,10:07,reading_online,
,,10:18,morning_routine,
,,10:31,breakfast,
,,10:37,side_projects,
,,11:27,side_projects,
,,12:22,writing,
,,13:04,lunch_at_home,
,,14:13,writing,
,,15:01,emails,
,,15:26,reading_online,
,,15:32,emails,
,,15:42,overhead,
,,17:07,writing,
,,17:21,reading_online,
,,19:16,reading_fiction,
,,19:29,reading_online,
,,21:19,reading_fiction,
,,21:28,overhead,
,,23:07,writing,
,,23:18,introspection,
,,23:34,evening_routine,
,,23:58,stretches,
2014-12-01,,08:04,sleep,
,,08:20,reading_online,
,,08:28,daydream,
,,08:44,morning_routine,
,,09:08,exercise_routine,
,,09:16,stretches,
,,09:45,breakfast_with_prep,
,,09:51,emails,
,,10:12,side_projects,
,,10:36,morning_routine,
,,12:01,side_projects,
,,12:13,emails,
,,12:45,lunch_at_home,
,,13:22,reading_papers,
,,15:13,homework,
,,15:28,side_projects,
,,18:00,research,
,,18:20,transit,
,,18:27,overhead,
,,18:52,dinner_at_home,
,,19:08,overhead,
,,19:36,writing,
,,23:58,reading_fiction,
2014-12-02,,00:16,introspection,
,,00:29,evening_routine,
,,08:12,sleep,
,,08:39,reading_online,
,,08:54,morning_routine,
,,09:20,exercise_routine,
,,09:32,stretches,
,,09:46,breakfast,
,,10:13,morning_routine,
,,10:39,emails,
,,10:57,transit,
,,11:10,waiting,
,,12:30,class,
,,13:20,lunch_social,
,,13:32,transit,
,,15:38,driving_lesson,
,,15:44,overhead,
,,16:01,transit,
,,19:39,research,
,,19:55,transit,
,,20:11,planning,
,,20:22,overhead,
,,20:59,dinner_at_home,
,,21:22,planning,
,,22:34,reading_nonfiction,
,,22:42,introspection,
,,23:07,stretches,
,,23:21,evening_routine,
,,23:37,stretches,
2014-12-03,,08:04,sleep,
,,08:41,morning_routine,
,,08:49,breakfast,
,,09:05,transit,
,,09:55,advisor_meeting,
,,10:26,snack,
,,10:30,overhead,
,,12:34,research,
,,13:11,planning,
,,13:25,overhead,
,,15:00,group_meeting,
,,15:10,overhead,
,,18:38,research,
,,19:10,waiting,
,,19:38,planning,
,,21:23,movie_social,
,,21:44,overhead,
,,22:00,transit,
,,22:07,snack,
,,22:26,emails,
,,22:46,planning,
,,22:58,introspection,
,,23:35,writing,
,,23:48,evening_routine,
,,23:53,stretches,
2014-12-04,,08:38,sleep,
,,08:48,reading_online,
,,09:04,morning_routine,
,,09:27,exercise_routine,
,,09:42,stretches,
,,10:00,breakfast,
,,10:13,bureaucracy,
,,10:16,waiting,
,,10:36,morning_routine,
,,10:45,introspection,
,,11:05,transit,
,,12:30,class,
,,13:02,lunch_social,
,,13:07,overhead,
,,17:15,research,
,,17:26,emails,
,,19:00,transit,
,,20:55,meetup,
,,21:55,transit,
,,22:08,snack,
,,22:21,overhead,
,,23:00,writing,
,,23:11,introspection,
,,23:24,evening_routine,
,,23:28,overhead,
,,23:46,stretches,
2014-12-05,,07:54,sleep,
,,08:13,reading_online,
,,08:52,morning_routine,
,,09:11,breakfast,
,,09:30,overhead,
,,10:45,transit,
,,11:00,waiting,
,,11:15,driving_test,
,,11:35,transit,
,,12:25,lunch_social,
,,13:00,transit,
,,13:21,transit,
,,13:28,overhead,
,,15:46,research,
,,16:05,transit,
,,16:25,transit,
,,18:25,rock_climbing,
,,18:40,transit,
,,21:00,party,
,,21:20,transit,
,,21:30,overhead,
,,21:51,emails,
,,22:13,reading_online,
,,22:55,writing,
,,23:10,planning,
,,23:25,evening_routine,
,,23:31,stretches,
2014-12-06,,09:13,sleep,
,,09:24,daydream,
,,09:35,morning_routine,
,,09:59,exercise_routine,
,,10:13,stretches,
,,10:30,breakfast,
,,10:53,morning_routine,
,,11:01,emails,
,,11:12,skype_parents,
,,11:19,emails,
,,11:39,planning,
,,12:58,reading_nonfiction,
,,13:17,lunch_at_home,
,,13:28,overhead,
,,13:38,transit,
,,16:07,research,
,,16:29,friend_hangout,
,,17:23,research,
,,17:50,colleague_meeting,
,,18:51,research,
,,19:00,transit,
,,20:05,dinner_social,
,,20:09,overhead,
,,23:27,research,
,,23:45,evening_routine,
,,23:51,introspection,
2014-12-07,,00:00,stretches,
,,08:50,sleep,
,,09:05,daydream,
,,09:22,morning_routine,
,,09:43,morning_routine,
,,10:04,emails,
,,10:20,breakfast,
,,12:20,research,
,,13:08,transit,
,,15:10,lunch_social,
,,15:20,transit,
,,17:00,waiting,
,,17:32,meetup,
,,18:30,transit,
,,18:40,overhead,
,,19:53,research,
,,20:34,dinner_at_home,
,,21:08,writing,
,,22:00,planning,
,,23:11,planning,
,,23:34,overhead,
,,23:48,evening_routine,
,,23:54,stretches,
2014-12-08,,07:53,sleep,
,,08:15,reading_online,
,,08:29,morning_routine,
,,08:51,exercise_routine,
,,09:05,stretches,
,,09:24,breakfast,
,,09:47,morning_routine,
,,11:00,planning,
,,11:47,bureaucracy,
,,12:20,lunch_out_by_myself,
,,12:41,bureaucracy,
,,13:05,waiting,
,,13:45,friend_hangout,
,,13:49,overhead,
,,20:06,research,
,,20:16,transit,
,,20:22,overhead,
,,21:22,dinner_with_prep,
,,21:24,overhead,
,,21:48,emails,
,,22:33,planning,
,,22:43,laundry,
,,23:09,emails,
,,23:13,overhead,
,,23:26,evening_routine,
,,23:42,stretches,
2014-12-09,,04:04,sleep,
,,04:29,morning_routine,
,,04:37,overhead,
,,09:32,transit,
,,10:29,bureaucracy,
,,12:25,transit,
,,14:00,lunch_social,
,,14:30,transit,
,,17:30,reading_fiction,
,,22:30,transit,
,,23:00,dinner_out_by_myself,
,,23:10,overhead,
,,23:23,evening_routine,
,,23:37,introspection,
